date,title,amount
2026-01-28,Ec *Shellbox,145.40
2026-01-27,Amazon,49.99
2026-01-27,Uber Uber *Trip Help.U,11.98
2026-01-27,Amazon Digital,8.90
2026-01-26,Drogaria Rosario,88.19
2026-01-26,Mp *Aliexpress,68.51
2026-01-25,Estac Shopping,11.00
2026-01-24,Centro de Ensino Piage - Parcela 1/10,167.91
2026-01-23,Raia Drogasil - NuPay,34.28
2026-01-23,"Estorno de ""Amazon Digital""",-5.99
2026-01-20,Ec *Shellbox,141.42
2026-01-20,Amazon Digital,5.99
2026-01-18,Ec *Shellbox,96.95
2026-01-18,Raia Drogasil - NuPay,24.70
2026-01-17,V Visual,53.95
2026-01-17,Luart Calcados - Parcela 1/2,60.90
2026-01-16,Drogasil,20.97
2026-01-15,Ec *Shellbox,143.57
2026-01-15,Amazonmktplc*Paulocesa,49.99
2026-01-13,Ec *Melimais,19.90
2026-01-12,Amazon - Parcela 1/4,85.68
2026-01-12,Mercadolivre*Mercadol - Parcela 1/2,122.94
2026-01-12,Varejao Fernandez,22.89
2026-01-09,Ec *Shellbox,141.42
2026-01-07,Raia Drogasil - NuPay - Parcela 1/2,51.58
2026-01-07,Google Youtubepremium,53.90
2026-01-06,Uber Uber *Trip Help.U,13.91
2026-01-06,Estacao das Polpas,40.20
2026-01-05,Pagamento recebido,-4671.72
2026-01-04,Corello - Parkshop,104.93
2026-01-03,Allianz Segu*05 de,168.24
2026-01-02,Raia Drogasil - NuPay,63.12
2026-01-01,Zara Brasil - Parcela 1/3,70.34
2026-01-01,"Estorno de ""Ebn *Hostinger""",-69.99
2026-01-01,Acougue e Sacolao Sou,13.47
2025-12-31,Ec *Shellbox,145.66
2025-12-31,Atacadao Dia A Dia,664.20
2025-12-30,Scalapier21,109.90
2025-12-29,Lbs Silva Colchoes - Parcela 2/6,328.94
2025-12-29,Centro de Ensino Piage - Parcela 3/3,558.33
2025-12-29,Karsten S.A. - Parcela 5/5,105.51
2025-12-29,Htm*Rockacademyen - Parcela 12/12,59.58
2025-12-29,Centro de Ensino Piage - Parcela 3/3,104.00
2025-12-29,Mercado*Mercadolivre - Parcela 4/5,113.81
2025-12-29,Gustavo Beraldo Custod - Parcela 3/3,210.00
2025-12-29,Ebn *Hostinger,69.99
2025-12-29,Renner - Parcela 3/3,88.19
2025-12-29,Corello Ecommerce - Parcela 2/4,104.22
2025-12-29,Shopee*Shopee*Lpmveis - Parcela 2/4,127.74
2025-12-29,Zara Conjunto Nacional - Parcela 3/3,46.66
2025-12-29,Mercadolivre*Mercadol - Parcela 2/2,51.99
2025-12-29,Amazonmktplc*Fabiluvar - Parcela 2/4,56.22
2025-12-29,Amazonmktplc*Srdossant - Parcela 3/4,134.72
